year,state,crop,area,production,yield
2010,Rajasthan,Barley,328.01,954.82,2910.95
2011,Rajasthan,Barley,278.01,789.19,2838.71
2012,Rajasthan,Barley,307.93,957.8399999999999,3110.58
2013,Rajasthan,Barley,309.27,942.05,3046.04
2014,Rajasthan,Barley,343.32,962.41,2803.24
2015,Rajasthan,Barley,256.03000000000003,766.42,2993.48
2016,Rajasthan,Barley,275.92,909.7,3296.97
2017,Rajasthan,Barley,273.98,910.72,3324.04
2010,Uttar Pradesh,Barley,164.25,409.29,2491.87
2011,Uttar Pradesh,Barley,166.31,441.77,2656.3
2012,Uttar Pradesh,Barley,168.47,445.69,2645.52
2013,Uttar Pradesh,Barley,156.38,450.32,2879.65
2014,Uttar Pradesh,Barley,170.28,287.82,1690.27
2015,Uttar Pradesh,Barley,124.8,270.26,2165.54
2016,Uttar Pradesh,Barley,169.99,460.18,2707.1
2017,Uttar Pradesh,Barley,143.91,403.14,2801.33
2010,Uttarakhand,Barley,22.04,27.65,1254.54
2011,Uttarakhand,Barley,20.69,26.15,1263.9
2012,Uttarakhand,Barley,20.7,28.21,1362.8
2013,Uttarakhand,Barley,21.32,29.029999999999998,1361.63
2014,Uttarakhand,Barley,21.03,24.78,1178.32
2015,Uttarakhand,Barley,18.37,18.07,983.67
2016,Uttarakhand,Barley,19.82,24.59,1240.67
2017,Uttarakhand,Barley,19.2,25.46,1326.04
2010,West Bengal,Barley,2.03,2.79,1374.38
2011,West Bengal,Barley,2.33,3.35,1437.77
2012,West Bengal,Barley,2.4,3.54,1475.0
2013,West Bengal,Barley,2.37,3.3899999999999997,1430.38
2014,West Bengal,Barley,2.47,3.46,1400.81
2015,West Bengal,Barley,2.5,3.5199999999999996,1408.0
2016,West Bengal,Barley,2.56,3.61,1410.16
2010,Andhra Pradesh,Castor,83.98000000000002,70.47,839.13
2011,Andhra Pradesh,Castor,161.76,16.78,103.73
2012,Andhra Pradesh,Castor,110.0,52.629999999999995,478.45
2013,Andhra Pradesh,Castor,48.89,25.8,527.72
2014,Andhra Pradesh,Castor,47.84,27.52,575.25
2015,Andhra Pradesh,Castor,50.71,28.81,568.13
2016,Andhra Pradesh,Castor,32.81,15.469999999999999,471.5
2017,Andhra Pradesh,Castor,31.810000000000002,20.84,655.14
2010,Assam,Castor,0.98,0.4,408.16
2011,Assam,Castor,1.01,0.52,514.85
2012,Assam,Castor,0.8999999999999999,0.48,533.33
2013,Assam,Castor,0.88,0.44,500.0
2014,Assam,Castor,0.96,0.54,562.5
2015,Assam,Castor,0.89,0.4,449.44
2016,Assam,Castor,0.74,0.33,445.95
2017,Assam,Castor,0.76,0.35,460.53
2010,Gujarat,Castor,490.6,986.0,2009.78
2011,Gujarat,Castor,877.7,1803.4,2054.69
2012,Gujarat,Castor,750.7,1493.0,1988.81
2013,Gujarat,Castor,630.24,1367.15,2169.25
2014,Gujarat,Castor,693.55,1440.53,2077.04
2015,Gujarat,Castor,713.8,1410.33,1975.81
2016,Gujarat,Castor,543.72,1126.83,2072.45
2017,Gujarat,Castor,585.24,1487.28,2541.32
2012,Haryana,Castor,1.27,0.6,472.44
2013,Haryana,Castor,0.7,0.7,1000.0
2010,Karnataka,Castor,19.11,16.080000000000002,841.44
2011,Karnataka,Castor,16.3,14.32,878.53
2012,Karnataka,Castor,11.459999999999999,7.15,623.91
2013,Karnataka,Castor,12.2,10.9,893.44
2014,Karnataka,Castor,11.9,7.27,610.92
2015,Karnataka,Castor,9.37,4.8999999999999995,522.95
2016,Karnataka,Castor,9.540000000000001,4.7,492.66
2017,Karnataka,Castor,7.12,4.59,644.66
2010,Madhya Pradesh,Castor,1.0,0.39999999999999997,400.0
2011,Madhya Pradesh,Castor,1.4,0.4,285.71
2012,Madhya Pradesh,Castor,3.0,1.06,353.33
2013,Madhya Pradesh,Castor,2.45,1.18,481.63
2017,Madhya Pradesh,Castor,8.95,4.970000000000001,555.31
2010,Maharashtra,Castor,9.8,4.1,418.37
2011,Maharashtra,Castor,8.1,3.47,428.4
2012,Maharashtra,Castor,18.22,4.68,256.86
2013,Maharashtra,Castor,13.8,5.1,369.57
2014,Maharashtra,Castor,17.3,4.0,231.21
2015,Maharashtra,Castor,11.43,2.13,186.35
2016,Maharashtra,Castor,7.05,2.07,293.62
2017,Maharashtra,Castor,6.16,1.36,220.78
2010,Orissa,Castor,14.54,8.92,613.48
2011,Orissa,Castor,12.91,8.2,635.17
2012,Orissa,Castor,12.54,8.08,644.34
2013,Orissa,Castor,12.73,8.13,638.65
2014,Orissa,Castor,10.93,6.970000000000001,637.69
2015,Orissa,Castor,10.45,6.6,631.58
2016,Orissa,Castor,8.91,5.62,630.75
2017,Orissa,Castor,7.77,4.91,631.92
2010,Rajasthan,Castor,148.71,210.67,1416.65
2011,Rajasthan,Castor,291.28000000000003,430.49,1477.93
2012,Rajasthan,Castor,223.01,341.08,1529.44
2013,Rajasthan,Castor,195.26,286.14,1465.43
2014,Rajasthan,Castor,226.33999999999997,335.13,1480.65
2015,Rajasthan,Castor,191.44,269.85,1409.58
2016,Rajasthan,Castor,142.46,190.68,1338.48
2017,Rajasthan,Castor,142.46,167.85,1178.23
2010,Tamil Nadu,Castor,5.999999999999999,1.85,308.33
2011,Tamil Nadu,Castor,6.22,1.82,292.6
2012,Tamil Nadu,Castor,5.64,1.75,310.28
2013,Tamil Nadu,Castor,6.409999999999999,1.98,308.89
2014,Tamil Nadu,Castor,5.15,1.71,332.04
2015,Tamil Nadu,Castor,5.48,1.73,315.69
2016,Tamil Nadu,Castor,4.69,1.4700000000000002,313.43
2017,Tamil Nadu,Castor,4.37,1.41,322.65
2010,Telangana,Castor,103.75999999999999,50.669999999999995,488.34
2011,Telangana,Castor,91.52,35.730000000000004,390.41
2012,Telangana,Castor,98.41,52.61000000000001,534.6
2013,Telangana,Castor,79.84,56.48,707.41
2014,Telangana,Castor,50.730000000000004,29.32,577.96
2015,Telangana,Castor,47.97,17.17,357.93
2016,Telangana,Castor,44.900000000000006,26.48,589.76
2017,Telangana,Castor,28.16,26.41,937.86
2010,Andhra Pradesh,Chickpea,474.82,571.14,1202.86
2011,Andhra Pradesh,Chickpea,479.89000000000004,447.86,933.26
2012,Andhra Pradesh,Chickpea,568.77,598.17,1051.69
2013,Andhra Pradesh,Chickpea,472.4,648.0300000000001,1371.78
2014,Andhra Pradesh,Chickpea,341.78,390.99,1143.98
2015,Andhra Pradesh,Chickpea,471.13,499.79,1060.83
2016,Andhra Pradesh,Chickpea,397.07,381.03000000000003,959.6
2017,Andhra Pradesh,Chickpea,520.38,589.1299999999999,1132.11
2010,Assam,Chickpea,1.76,0.86,488.64
2011,Assam,Chickpea,1.81,0.92,508.29
2012,Assam,Chickpea,1.71,0.9600000000000001,561.4
2013,Assam,Chickpea,2.0100000000000002,1.4100000000000001,701.49
2014,Assam,Chickpea,2.07,1.9500000000000002,942.03
2015,Assam,Chickpea,2.1799999999999997,1.52,697.25
2016,Assam,Chickpea,2.36,1.56,661.02
2017,Assam,Chickpea,2.2199999999999998,1.52,684.68
2010,Bihar,Chickpea,56.94,59.39,1043.03
2011,Bihar,Chickpea,59.39,76.81,1293.32
2012,Bihar,Chickpea,61.480000000000004,84.7,1377.68
2013,Bihar,Chickpea,61.34,70.34,1146.72
2014,Bihar,Chickpea,59.99,57.51,958.66
2015,Bihar,Chickpea,59.379999999999995,58.56,986.19
2016,Bihar,Chickpea,59.36,66.47999999999999,1119.95
2017,Bihar,Chickpea,58.22,67.18,1153.9
2010,Chhattisgarh,Chickpea,224.69,213.78,951.44
2011,Chhattisgarh,Chickpea,260.22,260.75,1002.04
2012,Chhattisgarh,Chickpea,267.87,304.86,1138.09
2013,Chhattisgarh,Chickpea,289.76,221.56,764.63
2014,Chhattisgarh,Chickpea,293.27,311.13,1060.9
2015,Chhattisgarh,Chickpea,280.92,218.86,779.08
2016,Chhattisgarh,Chickpea,290.66,338.31,1163.94
2017,Chhattisgarh,Chickpea,335.02,331.68,990.03
2010,Gujarat,Chickpea,175.5,199.8,1138.46
2011,Gujarat,Chickpea,239.9,273.3,1139.22
2012,Gujarat,Chickpea,136.1,133.1,977.96
2013,Gujarat,Chickpea,241.66,298.65,1235.83
2014,Gujarat,Chickpea,164.01,167.85,1023.41
2015,Gujarat,Chickpea,114.14,101.16,886.28
2016,Gujarat,Chickpea,164.39000000000001,184.87,1124.58
2017,Gujarat,Chickpea,292.77,376.26,1285.17
2010,Haryana,Chickpea,111.5,110.0,986.55
2011,Haryana,Chickpea,78.89999999999999,73.0,925.22
2012,Haryana,Chickpea,47.05,53.0,1126.46
2013,Haryana,Chickpea,83.0,72.0,867.47
2014,Haryana,Chickpea,64.0,41.0,640.62
2015,Haryana,Chickpea,43.0,27.0,627.91
2016,Haryana,Chickpea,37.1,46.400000000000006,1250.67
2017,Haryana,Chickpea,32.0,36.4,1137.5
2010,Himachal Pradesh,Chickpea,0.63,0.57,904.76
2011,Himachal Pradesh,Chickpea,0.62,0.6100000000000001,983.87
2010,Jharkhand,Chickpea,15.47,10.29,665.16
2011,Jharkhand,Chickpea,14.059999999999999,13.03,926.74
2012,Jharkhand,Chickpea,31.59,31.91,1010.13
2013,Jharkhand,Chickpea,38.01,39.22,1031.83
2014,Jharkhand,Chickpea,27.7,22.080000000000002,797.11
2015,Jharkhand,Chickpea,36.17,30.48,842.69
2016,Jharkhand,Chickpea,52.059999999999995,58.31,1120.05
2017,Jharkhand,Chickpea,232.68,285.8,1228.3
2010,Karnataka,Chickpea,959.2,608.96,634.86
2011,Karnataka,Chickpea,802.59,374.98,467.21
2012,Karnataka,Chickpea,969.0799999999999,581.36,599.91
2013,Karnataka,Chickpea,945.76,705.31,745.76
2014,Karnataka,Chickpea,939.02,623.33,663.81
2015,Karnataka,Chickpea,1420.43,552.47,388.95
2016,Karnataka,Chickpea,1002.9399999999999,592.56,590.82
2017,Karnataka,Chickpea,1265.21,975.8700000000001,771.31
2010,Madhya Pradesh,Chickpea,2882.3,2262.5,784.96
2011,Madhya Pradesh,Chickpea,3037.6,3287.2000000000003,1082.17
2012,Madhya Pradesh,Chickpea,2716.27,3278.04,1206.82
2013,Madhya Pradesh,Chickpea,2774.32,2102.5299999999997,757.85
2014,Madhya Pradesh,Chickpea,2796.0,2938.0,1050.79
2015,Madhya Pradesh,Chickpea,3018.0,3344.0,1108.02
2016,Madhya Pradesh,Chickpea,3223.0,4546.0,1410.49
2017,Madhya Pradesh,Chickpea,3590.0,5385.03,1500.01
2010,Maharashtra,Chickpea,1437.9,1300.19,904.23
2011,Maharashtra,Chickpea,1075.1,857.18,797.3
2012,Maharashtra,Chickpea,1134.5,867.64,764.78
2013,Maharashtra,Chickpea,1519.5,1400.6399999999999,921.78
2014,Maharashtra,Chickpea,1427.5,1087.7,761.96
2015,Maharashtra,Chickpea,1442.02,776.68,538.61
2016,Maharashtra,Chickpea,1929.13,1940.92,1006.11
2017,Maharashtra,Chickpea,2234.06,2048.89,917.12
2010,Orissa,Chickpea,41.91,32.67,779.53
2011,Orissa,Chickpea,38.95,29.78,764.57
2012,Orissa,Chickpea,41.23,31.91,773.95
2013,Orissa,Chickpea,47.150000000000006,36.21,767.97
2014,Orissa,Chickpea,47.25,36.38,769.95
2015,Orissa,Chickpea,39.18,30.130000000000003,769.01
2016,Orissa,Chickpea,40.32,30.97,768.11
2017,Orissa,Chickpea,32.94,25.63,778.08
2010,Punjab,Chickpea,2.7,3.5,1296.3
2011,Punjab,Chickpea,1.8,2.2,1222.22
2012,Punjab,Chickpea,2.4,3.1,1291.67
2013,Punjab,Chickpea,1.9000000000000001,2.37,1247.37
2014,Punjab,Chickpea,1.7999999999999998,1.9500000000000002,1083.33
2015,Punjab,Chickpea,1.7,2.17,1276.47
2016,Punjab,Chickpea,1.5999999999999999,2.2,1375.0
2017,Punjab,Chickpea,1.7,2.0,1176.47
2010,Rajasthan,Chickpea,1783.3200000000002,1600.71,897.6
2011,Rajasthan,Chickpea,1433.96,990.01,690.4
2012,Rajasthan,Chickpea,1252.94,1277.31,1019.45
2013,Rajasthan,Chickpea,1923.49,1640.72,852.99
2014,Rajasthan,Chickpea,1256.32,911.11,725.22
2015,Rajasthan,Chickpea,942.0,840.34,892.08
2016,Rajasthan,Chickpea,1547.91,1409.4,910.52
2017,Rajasthan,Chickpea,1572.57,1688.27,1073.57
2010,Tamil Nadu,Chickpea,7.29,4.93,676.27
2011,Tamil Nadu,Chickpea,8.58,5.52,643.36
2012,Tamil Nadu,Chickpea,7.04,4.54,644.89
2013,Tamil Nadu,Chickpea,8.94,5.82,651.01
2014,Tamil Nadu,Chickpea,6.82,4.19,614.37
2015,Tamil Nadu,Chickpea,4.869999999999999,3.18,652.98
2016,Tamil Nadu,Chickpea,5.24,3.38,645.04
2017,Tamil Nadu,Chickpea,5.2,4.82,926.92
2010,Telangana,Chickpea,108.75999999999999,148.1,1361.71
2011,Telangana,Chickpea,84.85,72.07,849.38
2012,Telangana,Chickpea,111.96000000000001,163.92000000000002,1464.09
2013,Telangana,Chickpea,113.44,194.62,1715.62
2014,Telangana,Chickpea,59.33,81.28,1369.96
2015,Telangana,Chickpea,69.85,50.36,720.97
2016,Telangana,Chickpea,101.42,131.79,1299.45
2017,Telangana,Chickpea,97.46,147.77,1516.21
2010,Uttar Pradesh,Chickpea,588.39,542.4399999999999,921.91
2011,Uttar Pradesh,Chickpea,600.5699999999999,710.28,1182.68
2012,Uttar Pradesh,Chickpea,604.0,676.5699999999999,1120.15
2013,Uttar Pradesh,Chickpea,577.25,265.67,460.23
2014,Uttar Pradesh,Chickpea,558.18,177.09,317.26
2015,Uttar Pradesh,Chickpea,267.69,163.41,610.44
2016,Uttar Pradesh,Chickpea,561.66,626.32,1115.12
2017,Uttar Pradesh,Chickpea,500.74,578.54,1155.37
2010,Uttarakhand,Chickpea,0.74,0.56,756.76
2011,Uttarakhand,Chickpea,0.73,0.5800000000000001,794.52
2012,Uttarakhand,Chickpea,0.6,0.51,850.0
2013,Uttarakhand,Chickpea,0.58,0.49,844.83
2014,Uttarakhand,Chickpea,0.6,0.5,833.33
2015,Uttarakhand,Chickpea,0.65,0.53,815.38
2016,Uttarakhand,Chickpea,0.74,0.6,810.81
2017,Uttarakhand,Chickpea,0.51,0.43,843.14
2010,West Bengal,Chickpea,22.15,23.669999999999998,1068.62
2011,West Bengal,Chickpea,23.27,24.41,1048.99
2012,West Bengal,Chickpea,25.14,29.56,1175.82
2013,West Bengal,Chickpea,24.92,29.28,1174.96
2014,West Bengal,Chickpea,26.200000000000003,30.86,1177.86
2015,West Bengal,Chickpea,30.8,24.57,797.73
2016,West Bengal,Chickpea,28.130000000000003,28.48,1012.44
2017,West Bengal,Chickpea,29.189999999999998,41.84,1433.37
2010,Andhra Pradesh,Cotton,389.0,145.43,373.86
2011,Andhra Pradesh,Cotton,482.18,151.01999999999998,313.2
2012,Andhra Pradesh,Cotton,589.11,262.34,445.32
2013,Andhra Pradesh,Cotton,676.61,393.85,582.09
2014,Andhra Pradesh,Cotton,821.08,495.21999999999997,603.13
2015,Andhra Pradesh,Cotton,666.0699999999999,327.09999999999997,491.09
2016,Andhra Pradesh,Cotton,471.52,281.53000000000003,597.07
2017,Andhra Pradesh,Cotton,646.04,375.82,581.73
2010,Assam,Cotton,1.42,0.1,70.42
2011,Assam,Cotton,1.25,0.09,72.0
2012,Assam,Cotton,1.78,0.14,78.65
2013,Assam,Cotton,1.1199999999999999,0.08,71.43
2014,Assam,Cotton,0.8999999999999999,0.060000000000000005,66.67
2015,Assam,Cotton,0.9199999999999999,0.07,76.09
2016,Assam,Cotton,0.8799999999999999,0.08,90.91
2017,Assam,Cotton,0.75,0.07,93.33
2010,Gujarat,Cotton,2623.2,1670.31,636.75
2011,Gujarat,Cotton,3003.1,1763.6999999999998,587.29
2012,Gujarat,Cotton,2457.2000000000003,841.67,342.53
2013,Gujarat,Cotton,2608.42,1892.07,725.37
2014,Gujarat,Cotton,2883.79,1662.04,576.34
2015,Gujarat,Cotton,2721.58,1357.65,498.85
2016,Gujarat,Cotton,2390.95,928.02,388.14
2017,Gujarat,Cotton,2626.5,1820.28,693.04
2010,Haryana,Cotton,493.29999999999995,295.66999999999996,599.37
2011,Haryana,Cotton,601.8000000000001,445.56,740.38
2012,Haryana,Cotton,592.63,404.26,682.15
2013,Haryana,Cotton,567.0,344.59,607.74
2014,Haryana,Cotton,647.0,329.63,509.47
2015,Haryana,Cotton,615.2,179.11,291.14
2016,Haryana,Cotton,571.1999999999999,367.39000000000004,643.19
2017,Haryana,Cotton,668.5,292.68,437.82
2010,Karnataka,Cotton,547.64,207.05,378.08
2011,Karnataka,Cotton,569.15,217.15,381.53
2012,Karnataka,Cotton,497.03000000000003,196.34,395.03
2013,Karnataka,Cotton,662.0,337.90999999999997,510.44
2014,Karnataka,Cotton,875.9200000000001,416.40000000000003,475.39
2015,Karnataka,Cotton,641.88,207.38,323.08
2016,Karnataka,Cotton,509.55,184.3,361.69
2017,Karnataka,Cotton,546.95,331.94,606.89
2010,Madhya Pradesh,Cotton,586.28,181.24,309.14
2011,Madhya Pradesh,Cotton,616.86,207.62,336.58
2012,Madhya Pradesh,Cotton,593.6600000000001,209.27,352.51
2013,Madhya Pradesh,Cotton,573.81,220.58,384.41
2014,Madhya Pradesh,Cotton,637.0,132.84,208.54
2015,Madhya Pradesh,Cotton,562.0,123.12,219.07
2016,Madhya Pradesh,Cotton,600.0,170.45999999999998,284.1
2017,Madhya Pradesh,Cotton,603.19,171.54,284.39
2010,Maharashtra,Cotton,3941.93,1270.38,322.27
2011,Maharashtra,Cotton,4166.7,1159.47,278.27
2012,Maharashtra,Cotton,4187.0,1154.8,275.81
2013,Maharashtra,Cotton,4159.5,1590.15,382.29
2014,Maharashtra,Cotton,4189.9,643.9,153.68
2015,Maharashtra,Cotton,4207.2,704.51,167.45
2016,Maharashtra,Cotton,4212.48,1935.8999999999999,459.56
2017,Maharashtra,Cotton,4350.81,1096.83,252.1
2010,Orissa,Cotton,74.37,40.93,550.36
2011,Orissa,Cotton,101.75999999999999,39.31,386.3
2012,Orissa,Cotton,118.67,57.2,482.01
2013,Orissa,Cotton,123.99000000000001,50.830000000000005,409.95
2014,Orissa,Cotton,127.19,53.79,422.91
2015,Orissa,Cotton,125.19,50.56,403.87
2016,Orissa,Cotton,135.99,382.37,2811.75
2017,Orissa,Cotton,144.57,408.2,2823.55
2010,Punjab,Cotton,482.99999999999994,309.64,641.08
2011,Punjab,Cotton,515.0,275.35999999999996,534.68
2012,Punjab,Cotton,481.0,292.86,608.86
2013,Punjab,Cotton,446.0,269.1,603.36
2014,Punjab,Cotton,420.0,241.55999999999997,575.14
2015,Punjab,Cotton,339.0,70.74,208.67
2016,Punjab,Cotton,285.0,228.05999999999997,800.21
2017,Punjab,Cotton,291.0,230.93999999999997,793.61
2010,Rajasthan,Cotton,335.85999999999996,145.68,433.75
2011,Rajasthan,Cotton,567.59,294.29,518.49
2012,Rajasthan,Cotton,540.67,46.74,86.45
2013,Rajasthan,Cotton,393.1,39.419999999999995,100.28
2014,Rajasthan,Cotton,486.55,46.78,96.15
2015,Rajasthan,Cotton,447.66,37.18,83.05
2016,Rajasthan,Cotton,471.16999999999996,280.85,596.07
2017,Rajasthan,Cotton,584.2299999999999,57.95,99.19
2010,Tamil Nadu,Cotton,120.76,42.120000000000005,348.79
2011,Tamil Nadu,Cotton,135.79999999999998,64.86,477.61
2012,Tamil Nadu,Cotton,133.25,43.41,325.78
2013,Tamil Nadu,Cotton,151.0,74.94,496.29
2014,Tamil Nadu,Cotton,186.72,107.8,577.34
2015,Tamil Nadu,Cotton,148.11,58.78,396.87
2016,Tamil Nadu,Cotton,148.21,36.25,244.59
2017,Tamil Nadu,Cotton,181.62,0.08,0.44
2010,Telangana,Cotton,1395.25,515.92,369.77
2011,Telangana,Cotton,1580.8200000000002,389.90999999999997,246.65
2012,Telangana,Cotton,1812.88,689.71,380.45
2013,Telangana,Cotton,1712.85,767.75,448.23
2014,Telangana,Cotton,1662.93,645.0,387.87
2015,Telangana,Cotton,1773.2600000000002,671.94,378.93
2016,Telangana,Cotton,1408.76,619.98,440.09
2017,Telangana,Cotton,1896.97,935.19,492.99
2010,Uttar Pradesh,Cotton,3.52,0.75,213.07
2011,Uttar Pradesh,Cotton,2.93,0.6900000000000001,235.49
2012,Uttar Pradesh,Cotton,5.08,1.19,234.25
2013,Uttar Pradesh,Cotton,3.91,0.88,225.06
2014,Uttar Pradesh,Cotton,6.300000000000001,0.33,52.38
2015,Uttar Pradesh,Cotton,7.69,0.47,61.12
2016,Uttar Pradesh,Cotton,5.63,0.35000000000000003,62.17
2017,Uttar Pradesh,Cotton,4.14,0.26,62.8
2010,West Bengal,Cotton,0.64,0.18,281.25
2014,West Bengal,Cotton,0.62,0.28,451.61
2010,Andhra Pradesh,Finger Millet,39.64,46.9,1183.15
2011,Andhra Pradesh,Finger Millet,40.25,37.97,943.35
2012,Andhra Pradesh,Finger Millet,38.510000000000005,42.01,1090.89
2013,Andhra Pradesh,Finger Millet,41.56,43.459999999999994,1045.72
2014,Andhra Pradesh,Finger Millet,33.43,34.42,1029.61
2015,Andhra Pradesh,Finger Millet,31.189999999999998,33.989999999999995,1089.77
2016,Andhra Pradesh,Finger Millet,32.07,34.519999999999996,1076.4
2017,Andhra Pradesh,Finger Millet,34.45,44.0,1277.21
2010,Bihar,Finger Millet,9.03,8.85,980.07
2011,Bihar,Finger Millet,7.74,9.41,1215.76
2012,Bihar,Finger Millet,7.95,9.41,1183.65
2013,Bihar,Finger Millet,7.04,7.14,1014.2
2014,Bihar,Finger Millet,6.72,9.88,1470.24
2015,Bihar,Finger Millet,6.95,9.91,1425.9
2016,Bihar,Finger Millet,4.78,3.4499999999999997,721.76
2017,Bihar,Finger Millet,4.1899999999999995,4.18,997.61
2011,Chhattisgarh,Finger Millet,8.15,2.05,251.53
2012,Chhattisgarh,Finger Millet,8.299999999999999,2.36,284.34
2013,Chhattisgarh,Finger Millet,7.65,1.9400000000000002,253.59
2014,Chhattisgarh,Finger Millet,7.64,2.01,263.09
2015,Chhattisgarh,Finger Millet,8.059999999999999,1.53,189.83
2016,Chhattisgarh,Finger Millet,7.179999999999999,1.75,243.73
2017,Chhattisgarh,Finger Millet,7.27,1.64,225.58
2010,Gujarat,Finger Millet,20.0,13.9,695.0
2011,Gujarat,Finger Millet,16.200000000000003,13.3,820.99
2012,Gujarat,Finger Millet,17.3,16.5,953.76
2013,Gujarat,Finger Millet,14.32,14.08,983.24
2014,Gujarat,Finger Millet,20.07,17.14,854.01
2015,Gujarat,Finger Millet,19.23,15.02,781.07
2016,Gujarat,Finger Millet,19.21,23.97,1247.79
2017,Gujarat,Finger Millet,11.879999999999999,10.65,896.46
2010,Himachal Pradesh,Finger Millet,2.16,2.08,962.96
2011,Himachal Pradesh,Finger Millet,2.19,2.45,1118.72
2012,Himachal Pradesh,Finger Millet,2.34,2.45,1047.01
2013,Himachal Pradesh,Finger Millet,1.9300000000000002,1.77,917.1
2014,Himachal Pradesh,Finger Millet,1.92,1.89,984.38
2015,Himachal Pradesh,Finger Millet,1.8199999999999998,1.8699999999999999,1027.47
2016,Himachal Pradesh,Finger Millet,1.85,1.95,1054.05
2017,Himachal Pradesh,Finger Millet,1.81,1.91,1055.25
2011,Jharkhand,Finger Millet,21.560000000000002,20.41,946.66
2016,Jharkhand,Finger Millet,19.43,22.57,1161.61
2017,Jharkhand,Finger Millet,19.020000000000003,18.490000000000002,972.13
2010,Karnataka,Finger Millet,787.89,1588.24,2015.81
2011,Karnataka,Finger Millet,684.88,1271.86,1857.06
2012,Karnataka,Finger Millet,645.09,974.5,1510.64
2013,Karnataka,Finger Millet,671.4499999999999,1258.1200000000001,1873.74
2014,Karnataka,Finger Millet,708.4399999999999,1299.16,1833.83
2015,Karnataka,Finger Millet,705.68,1188.58,1684.3
2016,Karnataka,Finger Millet,598.66,491.34,820.73
2017,Karnataka,Finger Millet,777.83,1568.28,2016.22
2010,Madhya Pradesh,Finger Millet,21.4,8.6,401.87
2011,Madhya Pradesh,Finger Millet,20.6,6.0,291.26
2010,Maharashtra,Finger Millet,120.03999999999999,117.41,978.09
2011,Maharashtra,Finger Millet,130.3,137.92,1058.48
2012,Maharashtra,Finger Millet,124.5,138.89,1115.58
2013,Maharashtra,Finger Millet,124.5,142.3,1142.97
2014,Maharashtra,Finger Millet,111.6,119.0,1066.31
2015,Maharashtra,Finger Millet,91.7,92.9,1013.09
2016,Maharashtra,Finger Millet,92.82,111.07,1196.62
2017,Maharashtra,Finger Millet,92.82,106.41,1146.41
2010,Orissa,Finger Millet,179.48000000000002,147.39,821.21
2011,Orissa,Finger Millet,169.22,151.42,894.81
2012,Orissa,Finger Millet,172.99,149.21,862.54
2013,Orissa,Finger Millet,165.8,143.74,866.95
2014,Orissa,Finger Millet,158.27,137.36,867.88
2015,Orissa,Finger Millet,147.29,127.64999999999999,866.66
2016,Orissa,Finger Millet,138.34,120.93,874.15
